id,fear,term,latin_root,category ,description,citation
0,Spiders,Aracnaphobia is the fear of spiders,Aracno,creature,"Spiders are one of the most common fears. If you have arachnophobia, you may be too fearful to kill or trap spiders yourself. When encountering a spider you may flee or even become frozen in place. A popular theory is that humans evolved to have arachnophobia as a survival technique to help us avoid potentially dangerous insects.",
1,Snakes,Ophidiophobia is the fear of snakes,Ophis,creature,People with ophidiophobia experience anxiety and/or a physical reaction when being close to or thinking about snakes. This phobia can be caused by having or hearing about negative experiences. It can also be caused by their portrayal in media. A 2013 study also found that we are evolutionarily conditioned to fear snake-like forms.,snakes
2,Heights,Acrophobia is the fear of heights ,Acro,situational,"Many people experience anxiety when looking down from high places. Acrophobia can extend to feelings of discomfort even when seeing a photo of a high place or thinking about something like crossing a bridge. Acrophobia can be caused by traumaitc experiences. Phobias can also develop without a clear cause, genetics and environmental factors may play a role.",
3,Dogs,Cynophobia is the fear of dogs,Cyno,creature,"Fear of dogs is usually caused by a negative experience, especially during childhood. Fear of snakes and spiders is more prevalent, but the average person is much more likely to encounter dogs on a regular basis. This makes the phobia much worse for those who experience it.",
4,Thunder and Lightning,"Astraphobia is the fear of thunder, lightning, and storms",Astro,environmental,"Many people with astraphobia seek more shelter or protction from a storm. This may look like hiding under your bed, basement, bathroom, or closet. This phobia is very common in children and even animals too.",
5,Injections,Trypanophobia is the far of injections or needles,Trypano,thing,"Someone who experiences trypanophobia has an extreme fear of injections or needles. This phobia is common in children. It can be caused by general anxiety, negative experiences, sensitivity to pain, and can even be connected to the fear of being restrained.",
6,Flying,Aviophobia,Avi,situational,"People with aviophobia experience an intense fear of/disdain towards flying. People who suffer from this phobia often have physical reactions to the thought or experience of flying. This phobia may stem from related factors such as being in an enclosed space (claustrophobia), fear of crowds (agoraphobia), and/or heights (acrophobia).",
7,Social situations,Social Phobia / Anthrophobia ,Anthro,situational,"People with Social phobia (also known as Social Anxiety Disorder) experience an irrational fear of being watched, judged, embarrassed, or humiliating themselves. It is believed that this disorder is caused by a combination of genetic and environmental factors. Social Phobia is considered to be one of the most common mental disorders. If you find that you suffer from this, there is a wide variety of therapies and medications used to treat Social Anxiety Disorder.",
8,Dirt or Germs,Mysophobia,Myso,thing,"Someone who experiences mysophobia has a fear of dirt, germs, and contamination. If you suffer from this phobia you may experience shaking, sweating, heart palpitations, or crying when exposed to dirt or bacteria. Mysophobia is thought to be related to obsessive-compulsive disorder. If you experience either, it is important to consult with a mental health professional.",
9,Clowns,Coulrophobia,Coulro,creature,The fear of clowns is thought to be caused by negative personal expierces or the media portrayal of clowns in horror. Fear of clowns is prevalent in children as the exaggerated facial features and expressions create uncanny human-like figures.,
10,Confined Spaces,Claustrophobia,Claustro,situational,"If you suffer from claustrophobia you may experience anxiety, panic attacks, difficulty breathing, or feeling like the walls are closing in on you. Claustrophobia is one of the most prevalent fears and there are a wide variety of symptoms someone can expierince in response to being enclosed in a small place like a closet, elevator, crawlspace, or even crowds. Many theorize that this phobia is caused by bad childhood experiences or an evolutionary survival mechanism.",
11,The Ocean,Thalassophobia,Thalasso,environmental,"People who suffer from thalassophobia fear what could be lurking under the surface of vast, dark, and deep bodies of water. Common sypmtons include shortness of breath, racing heart, nausea, and a sense of imminent doom when in or near bodies of water. This is different from aquaphobia (the fear of water) and is likely caused by genetic, environmental facotrs, and/or personal experiences.",
12,Public Speaking,Glossophobia,Glosso,situational,"The fear of public speaking is very common, most of the population experiences some anxiety when it comes of public speaking. Glossophoia is related to social phobia and stage fright. In children, it may appear as desperately hoping to not get called on to answers a question. This phobia may drive you to avoid situations where you become the focus of attention.",
13,The Dark,Nyctophobia,Nycto,environmental,"Many people have felt a fear of the dark before in their life. Nyctophobia is not age specific fear. It is also known as scotophobia, achluophobia, and lygophobia. Fear of the dark may be evolutionary as many predators hunt at night. This fear may not be darkness itself but the unknown dangers hidden in it. People wih nyctophobia may expieircne nervousness in any darkened environment, needing to sleep with a nightlight, and physical discomfort when forced to spend time in the dark.",
14,Tornadoes and Hurricanes,Lilapsophobia,Lilapso,environmental,"Lilapsophobia is considered the most intense form of astraphobia, which is the fear of thunder and lightning. It is the fear of tornados or hurricanes. ",
15,Crowds or Open Spaces,Agoraphobia,Agora,environmental,"When one is afriad of leaving their space and entering public places or crowds, they are considered to have agoraphobia. More specifically, it is a fear of being in a situation of place that is unescapable or out of one's control. ",
16,Faliure,Atychiphobia,Atyches,situational,Atychiphobia is the fear of failure and is often a roadblock to people's achievement because it prevents people from taking the first steps of trying. ,
17,Imperfection,Atelophobia,Atelo,situational,"Similar to perfectionism, Atelophobia belongs to a group of anxiety disorders. It can prevent people from encountering situations that could result in failure. ",
18,Being Alone,Autophobia,Autos,situational,People with Autophobia feel as if they need another person or people around to feel safe. This could stem from a fear of not being able to protect oneself or from a fear of being unloved. ,
19,"Humanoid Figures (mannequins, animatronics, etc)",Automatonophobia,Automatos,creature,"Somebody that suffers from Automatonophobia can be afrain of human-like figures such as robots, wax figures, mannequins, statues, or dummies. This phobia can develop because of a traumatic experience, genetics, one's environment, or developmental experiences. ",
20,Insects,Entomophobia,Entom,creature,,
21,Blood,Hemophobia,Hemo,thing,,
22,Reptiles,Herpetophobia,Herpeto,creature,,
23,Holes,Trypophobia,Trypo,thing,,
24,Death,Thanatophobia,Thanato,situational,,
25,Pain,Algophobia,Algo,situational,,
26,Trees,Dendrophobia,Dendro,environmental,,
27,Bridges,Gephyrophobia,Géphura,thing,,
28,Bad Breath,Halitophobia,Halitosis,situational,,
29,Water,Hydrophobia,Hydro,thing,,
30,Time,Chronophobia,Chrono,situational,,
31,Illness,Hypochondria,Hypokhondria,situational,,
32,Fish,Ichthyophobia,Ichthys,creature,,
33,Buttons,Koumpounophobia,Koumpouno,thing,,
